query,paragraph,label
Does the event tony's grandma is alive start after they sold out of her favorite cake ?, Tony needed to buy his grandma a birthday present. He went to her favorite bakery. They were sold out of her favorite cake. The owner told Tony how to make it himself. His elated grandma couldn't tell the difference!	,no
Does the event gary and his dog walked outside their house start after a man hit the dog on the side ?," Gary was walking his dog on the sidewalk. The dog managed to break through the leash and ran away. It ran towards a crowded street with a traffic. A man hit the dog on the side while he was driving. ""Since he only felt a small thud, he didn't bother to stop.""	",no
Does the event susie didn't have enough money to open up a convenience store ends before she be not sure she would get it ?, Susie wanted to open up a convenience store. But she really needed a loan for that. So she went to loan office. She was not sure she would get it. But she was almost instantly approved.	,no
Does the event mary cleaned herself. ends after she peed her pants ?," Mary bought a ticket to see the new Star Wars movie. She was so excited she peed her pants! ""By the time she changed, it was too late to see the opening."" Mary was able to catch the next show. She thought it was everything it was hyped to be.	",yes
Does the event laura did not want a cat ends before she find one she really liked with black and gray spots ?, Laura wanted to adopt a kitten. She found one she really liked with black and gray spots. The owner decided not to adopt the kitten out. Laura went home feeling defeated. The owner called a day later to say she had changed her mind.	,no
Does the event zach started to read the bag more carefully start after he started smelling smoke ?," Zach decided to cook popcorn. He put the bag in the microwave. He entered the time. ""However, he started smelling smoke."" Zach accidentally entered the wrong time.	",yes
Does the event harry has friends ends before harry would forget lots of things ?," Harry would forget lots of things. His friends suggested he keep an agenda. Harry agreed. He decided to buy a notepad. ""Now, Harry was much better at remembering things.""	",no
Does the event one foot was touching the floor ends after i put my knee up by my chest ?, I never sit in a chair normally. I sat down a minute ago and pulled my feet up. I balanced one foot underneath me. Then I put my knee up by my chest. I sat there resembling a monkey while I worked.	,yes
Does the event randy was not making as much money as before. start after randy could fix just about anything ?, Randy was a radio repairman and could fix just about anything. His business was slowing down because people no longer used radios. He had to think about how to keep his business going. He took up learning to repair portable phones and computers. Now instead of radios he repairs the phones and computers.	,yes
"Does the event eventually, she got her cast removed. start before she be awkward ?"," Nia broke her leg. She had to get a cast put on it. She was awkward at first wearing it. But soon she grew used to it. ""Before long, she could walk with ease!""	",no
Does the event dana enrolled in school start after her grandfather drove her to school ?, Dana's grandfather was bringing her to school. He had an old loud truck. Dana was embarrassed of the truck. She told her grandfather to park a block down the road. Dana walked the rest of the way to school.	,no
Does the event kim spent a lot of time doing the report about wombats. ends before she included a lot of humor in her written report about wombats. ?," Kim had to do a report on a mammal for her biology class. She decided to do her report on wombats. ""After reading about wombats, she thought that they were hilarious."" She included a lot of humor in her written report about wombats. Kim's teacher loved the humor in her report about wombats.	",no
Does the event i stormed out of the room ends after he take several minutes to write everything out ?," Tommy promised me that he was going to draw a good sketch of me. He took several minutes to write everything out. ""When he was done with the outline, he showed it to me."" It ended up being my face on top of a banana. I ripped the page and threw it away.	",yes
Does the event the pizzas were well made start before the girls get the ingredients together to make the pies ?," Lucy and her friends loved getting her friends together for a party. Tonight they decided to have a pizza party. The girls got the ingredients together to make the pies. ""When they were done, they put them in the oven."" ""After a half hour, the pizzas were golden brown.""	",no
Does the event michelle got dressed up to go out start after they demand her purse ?, Michelle is walking home from the club. While walking she feels someone grab her arm. They turn her around and point a gun at her. They demanded her purse. She gives them her purse and is robbed.	,no
Does the event martin enjoyed his walk. start after he decided to walk around the block before bed ?, Martin realizes that he needs to get more exercise. He decides to have a walk around the block before he goes to bed. That night he sleeps more deeply than normal. He decides to take a walk every night before going to bed. Martin is very happy he is getting more exercise.	,yes
Does the event i stopped smoking ends after no matter the weather i never smoke inside ?, I used to smoke when I was younger. No matter the weather I never smoked inside. One day I was lighting a cigarette as i walked out the door. I looked up and saw three federal agents standing next to me. It turned out they were looking for the previous tenant.	,yes
Does the event she planted lettuce start before the lettuce not grow at all ?, Ellie lived on a potato farm. One year she decided to farm lettuce too. The potatoes grew very well. The lettuce did not grow at all. Ellie decided to stick to potato farming in the future.	,yes
Does the event bob looked every where for his granddaughter start after she had gotten lost ?," Bob's granddaughter had gotten lost. He had her now, but she was still afraid. He wanted to calm the child's mind. He told her a story of being lost for half a day as a child. The story made the girl smile even if it were a lie.	",yes
Does the event jill felt worried about passing the math test. start after jill's teacher allowed her to take the test at home ?," Jill studied all week for her math test. She stayed up studying the cold night before too. The morning of the test, she woke up sick. But she went to school anyway. Jill's teacher allowed her to take the test at home.	",no
Does the event he arrived at the library ends before griffin need to write a book report for school ?," Griffin needed to write a book report for school. He went to the library to find a book. He found an interesting book about Abraham Lincoln. ""Griffin started to read the book, but fell asleep."" ""When he woke, Griffin decided to pick a different topic.""	",no
Does the event tony made a cake himself ends before his elated grandma couldn't tell the difference ?, Tony needed to buy his grandma a birthday present. He went to her favorite bakery. They were sold out of her favorite cake. The owner told Tony how to make it himself. His elated grandma couldn't tell the difference!	,yes
Does the event jack stayed up all night studying start before he still does not feel ready ?, Jack has a test in science. He has been studying all week. He still does not feel ready. Jack got to his test and failed. He begged his teacher for a retake and she said no.	,yes
Does the event henry was running very fast start after he couldn't get through the double team ?, Henry had several seconds to shoot the ball. He couldn't get through the double team so he ran through them. He got fouled by one of the opponents but ended up throwing the ball. The ball landed into the hoop. His team ran towards him to congratulate him.	,yes
Does the event the players were very excited. start after they put in their best effort ?, The players were excited about the upcoming game. They were playing their biggest rivals. They needed this win to make sure they'd make the playoffs. They put in their best effort all season. This win was the most important win on the year.	,no
Does the event i walked to class start after i sit there speechless ?," I was sitting in class falling asleep. ""Suddenly, the teacher asked me a question."" I sat there speechless. I randomly told the teacher that two was the answer. ""Surprisingly, I was completely right.""	",no
Does the event samantha got a haircut ends before now she looks swell! ?," Samantha really needed a haircut but didn't have much money. ""She asked her parents, but they didn't have much money either."" She came up with an idea to raffle off her radio at school. She sold 85 tickets at a quarter a piece. ""It was just enough for a haircut, and now she looks swell!""	",yes
Does the event susie was carrying a purse ends after she got home. ?, Susie was trying to find her way home. All the sudden she got lost. It upset her. She had to rely on her gps. It took five hours to get home.	,yes
Does the event wallace wanted to swim in early september. start after the water be far too cold for him to swim ?," Milwaukee resident Wallace wanted to go swimming in the lake. ""It was early September, and he donned his swim trunks."" He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	",no
Does the event nia is alive. ends after she decide to order a healthy pizza ?," Nia loved pizza. But she was trying to lose weight. She decided to order a healthy pizza. ""She added lots of veggies, and half the cheese."" Nia's healthy pizza was delicious!	",yes
Does the event bob looked every where for his granddaughter start before she had gotten lost ?," Bob's granddaughter had gotten lost. He had her now, but she was still afraid. He wanted to calm the child's mind. He told her a story of being lost for half a day as a child. The story made the girl smile even if it were a lie.	",no
Does the event jill's teacher trust jill. start after jill's teacher allowed her to take the test at home ?," Jill studied all week for her math test. She stayed up studying the cold night before too. The morning of the test, she woke up sick. But she went to school anyway. Jill's teacher allowed her to take the test at home.	",no
Does the event the speaker enjoys collecting pint glasses start after seeing a new employee and buying a tour ?, I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee.	,no
"Does the event i told joe about the summer reading ends before joe told his son to do the reading, plus one book. ?"," ""My friend Joe has a son, 16."" When his son was 13 he told his dad there was no summer reading. Joe believed his son. I went online and found the school did have summer reading. ""Joe told his son to do the reading, plus one book.""	",yes
"Does the event jordan told the clown ""no"" start before jordan refuse because she was afraid of the clown 's red nose ?"," Jordan went to the circus. ""Upon arrival, Jordan met a clown with a red nose."" The clown asked Jordan for a hug. Jordan refused because she was afraid of the clown's red nose. Jordan never returned to the circus after this experience.	",no
Does the event the cat felt scared. start before he say that there is a loose cat going around the neighborhood ?," I was talking to my neighbor this morning. He said that there is a loose cat going around the neighborhood. ""I told him that I thought I saw it, also."" ""When I went back inside, I heard a small """"meow""""."" The cat had been following me and got inside my house.	",yes
Does the event julie was worried that she wouldn't be able to get the c. start before she needed to get a c to pass the class ?," Julie was struggling in Calculus. She needed a C on the final exam to pass the class. She studied for many hours. ""When she sat down to take the exam, her mind went blank."" She failed the exam and the class.	",no
Does the event barry visited a furniture shop. ends before barry will sleep in a normal bed ?," Barry is very tall. His feet hung off his bed. ""One day, Barry bought a very long bed."" He slept very well that night. Barry will never sleep in a normal bed again.	",yes
Does the event anna new car made her friends jealous of her ends before she save her paychecks ?, Anna needed a new car. Her old was was always breaking down. So she got a second part-time job. She saved up her paychecks. Soon she could afford a new car!	,no
Does the event kendall offered to pay the stranger back start after someone offered to pay for his ticket ?, Kendall was heading over to the movie theater. He was very excited to see the new Star Wars movie. At the theater he found out he didn't have enough money. Someone behind him offered to purchase his ticket. Kendall was so happy that a stranger would be so kind.	,yes
Does the event matt and his girlfriend bought train tickets. ends before matt 's girlfriend realize she forgot her phone ?," Matt was on a train with his girlfriend. They arrived at their destination and got off the train. Five minutes later, Matt's girlfriend realized she forgot her phone. They had to drive really far to get her phone. Matt was annoyed and frustrated with the situation.	",yes
Does the event javier is disappointed about his ramen. ends before he go to the store to buy a few packets ?, Javier has always wanted to try instant ramen. He decides that today is his day to try it. He goes to the store to buy a few packets. On his way home Javier is in a car accident. Javier never got to cook his instant ramen.	,no
Does the event amy went to get a mop ends after amy be in an important meeting at work ?, Amy was in an important meeting at work. She sat at a conference table with her coworkers while her boss spoke. There was a pitcher of water in the middle of the table. Amy tried to get water but ended up knocking the pitcher over. The meeting was postponed as soaked coworkers helped clean the spill.	,yes
Does the event ellie looked for growth of the lettuce start before she decided to farm lettuce ?, Ellie lived on a potato farm. One year she decided to farm lettuce too. The potatoes grew very well. The lettuce did not grow at all. Ellie decided to stick to potato farming in the future.	,no
Does the event the customer was in the car. ends before jax fired for taking the purse ?, Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse.	,yes
Does the event andrea and amanda walked onto the boat. ends before the boat rocked a lot ?," Andrea invited Amanda onto her boat. Amanda was excited since she had never taken a boat ride. ""The ocean waves were big that day, and the boat rocked a lot."" Amanda quickly became sick and wanted to go back. Andrea apologized to Amanda since she felt bad for her.	",yes
Does the event i visited a lot of job searching websites. start after i could not find a job after six months of searching. ?," I graduated college without job prospects. Thankfully, my parents let me stay home until I found a job. Alas, I could not find a job after six months of searching. My parents understood and continued to let me live at their house. I soon found a job and I thanked my parents for their support.	",no
Does the event beth and amy were at a well known movie theatre chain start after beth offered to share her popcorn ?," Amy was at the theater to see a movie. She wanted popcorn, and candy, and soda. She only had $5 for snacks. Amy could only have one of the snacks she wanted. Beth offered to share her popcorn so Amy could buy candy.	",no
Does the event chris turned 13. ends after chris 's father kick them out of the house ?," Everyone got together. They were celebrating Chris's 13th birthday. ""However, some of his relatives were arguing about money."" One ended up being punched. Chris's father had to kick them out of the house.	",no
Does the event trisha called the owners to explain closing early ends before she closed the diner early ?, Trisha was a manager of local diner. It was a slow night. The diner hadn't been making any money. Trisha didn't want the diner to lose any more money. Trisha closed the diner an hour early.	,yes
Does the event caleb was able to get a job. start after caleb grow his hair ?," Caleb has been growing out his hair for several Year's. ""Although all his friends have short hair, Caleb's hair is very long."" ""However, now that he needs a job, he decides to cut it."" ""Caleb goes to the barber for a short, professional haircut."" ""Still, he misses the days when he had long hair.""	",yes
Does the event bob used a credit card to pay for the sticky wrap. start after bob be happy to see the wrap worked exactly like it should ?, Bob needed to keep some drawers closed. He found a sticky wrap online and ordered it. When it came Bob wasn't very confident it would work. He wrapped it to itself around his set of plastic drawers. Bob was happy to see the wrap worked exactly like it should.	,no
Does the event wallace owned a pair of swim trunks. ends before he drive to the lake ?," Milwaukee resident Wallace wanted to go swimming in the lake. ""It was early September, and he donned his swim trunks."" He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	",no
Does the event sara was tired. start after she fell asleep. ?," Sara was getting ready to go to bed. Then, her boyfriend called. They began talking and stayed that way all night. As the sun rose, she was having trouble staying awake. He said goodnight and she fell asleep.	",no
Does the event amy is alive. start before she have a stay at home job ?," Amy has suffered from anxiety her whole life. This had prevented her from getting a job. She has a degree but hasn't used it. Today she has a stay at home job. ""Today, Amy is happy.""	",yes
Does the event the dad didn't want to separate the kittens. ends before jenny 's dad take her to the pound to pick out a kitten ?, Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home.	,no
Does the event the home team won through a penalty ends before much change for both schools ?," It was the first time these two teams had played in 15 years. Much had changed for both schools in that time. The fans were excited to experience the rivalry game. ""The team that used to dominate, had weakened over the years."" ""It was a close game, but the home team eventually won.""	",no
Does the event amy went to get a mop ends after amy end knocking the pitcher over ?, Amy was in an important meeting at work. She sat at a conference table with her coworkers while her boss spoke. There was a pitcher of water in the middle of the table. Amy tried to get water but ended up knocking the pitcher over. The meeting was postponed as soaked coworkers helped clean the spill.	,yes
Does the event jess took a flight to germany. start before she was traveling in germany. ?, Why did all these foreigners thing that Jess did not know anything? She was from the states and traveling in Germany. The company Jess was in asked her where Malaysia was. Jess could only guess what continent it might be in. Jess guessed wrong and felt barlish in front of the group.	,yes
Does the event randy had a hard day at work. start before he notice another drink behind it ?, Randy needed a drink after work. He opened the refrigerator to look for a drink. He got a coke but he noticed another drink behind it. There was a beer hidden in the refrigerator. He got the beer and got drunk off of it for the night.	,yes
Does the event she was alive. start after susie try to find her way home ?, Susie was trying to find her way home. All the sudden she got lost. It upset her. She had to rely on her gps. It took five hours to get home.	,no
Does the event the waiter felt annoyed by mikey's mother. ends before mikey eat with his family ?," Mikey was eating out with his family. His mom complained that her meat was undercooked. Mikey tried to stop her, but she began berating the waiter. Other people noticed and scolded her. It became such a mess Mikey decided to leave.	",no
Does the event dana's student was alive start before she love her job and students very much ?, Dana was a new preschool teacher in Texas. She loved her job and students very much. Dana always kept a watchful eye over her students. During nap time one student began to have a seizure. Dana reacted immediately and saved her student's life!	,yes
Does the event matt and his girlfriend had to rent a car. ends before they had to drive really far to get her phone ?," Matt was on a train with his girlfriend. They arrived at their destination and got off the train. Five minutes later, Matt's girlfriend realized she forgot her phone. They had to drive really far to get her phone. Matt was annoyed and frustrated with the situation.	",yes
Does the event wallace owned a pair of swim trunks. start after the water be far too cold for him to swim ?," Milwaukee resident Wallace wanted to go swimming in the lake. ""It was early September, and he donned his swim trunks."" He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.	",no
Does the event ben wanted to go to the dance with jenna ends before jenna collapse on her bed in tears ?," Jenna collapsed on her bed in tears. Ben asked her to Spring Party, but she had no money for a dress. Just then her roommate, Marissa, entered, smiling. To her surprise, Marissa smiled and held out a beautiful dress. The dress fit perfectly and Jenna was able to go the party after all!	",yes
Does the event megan's mom bought rice krispies. ends before her mom pulled out rice krispies. ?," On Megan's ninth birthday, her mom surprised her. She told Megan there would still be vegetables to eat! Megan hated vegetables and she was very unhappy. But then her mom pulled out a carrot cake and Rice Krispies! Megan was more than happy to eat her ""vegetables"" that night!	",yes
Does the event alice pulled weeds in her garden. ends before alice love flowers ?," Alice loved flowers. ""One day, she decided she wanted to plant a garden."" ""She and her grandmother bought geraniums, roses, and sunflowers."" They planted their garden. ""A few weeks later, it was beautiful!""	",no
Does the event she wondered if squirrels were responsible ends after bonnie have a small vegetable garden in her backyard ?, Bonnie had a small vegetable garden in her backyard. One day Bonnie found several partially-eaten vegetables there. She quickly put up a fence to keep the critters out. She also put up a scarecrow to ward off the birds. Bonnie soon harvested many tasty vegetables from the garden.	,yes
Does the event desire got into bed ends after she slept with her stuffed animal ?, Desire loved going to the zoo. She gets excited every time she sees the zebra exhibit. Desire rounded up some kids at the zoo. They all watched the special lion show. Desire went home happy and slept with her stuffed animal from the zoo.	,no
Does the event rick was bored. start before rick enjoy being reminded of his childhood ?, Rick was watching TV. And he noticed that there was nothing to watch but children's shows. One of the shows he remembered. And he used to watch it when he was a child. Rick enjoyed being reminded of his childhood.	,yes
Does the event emily was killed start after she was never seen again ?," Emily is an avid runner. She always runs near a wooded area. ""One day, she ran further than usual."" ""On her way back, she ran near the trees in complete darkness."" Something jumped out of the woods and Emily was never seen again.	",no
Does the event tabitha is sexual active ends before no one notice ?," Tabitha was riding the bus while nine months pregnant. No one noticed as she was hit with nausea. She knew she was going to throw up and had nowhere to do it. ""Out of confusion, she went ahead and did it in her purse."" She was so embarrassed and her bag was ruined but she didn't mind.	",yes
Does the event jessie got her driver's license ends before jessie had sign her son into school ?, Jessie woke up late one morning. She had to hurry to get her son dressed. Jessie drove her son to school. They were late to school. Jessie had to sign her son into school.	,yes
Does the event bill has a job. start before he speak with her fluently in japanese ?, Bill always wanted to learn Japanese. Bill bought some instructional videos and began studying. Bill got better and better at the language. One day Bill met a woman from Tokyo at a work conference. He spoke with her fluently in Japanese for over an hour!	,yes
Does the event peter realized the person wasn't so bad ends before peter is not best friends with this person ?, Peter wanted to be nice and kind to everyone he met. One day he met someone that he didn't like as much. Peter still wanted to be nice to him however. He struggled a little bit but finally was nice to him. Peter is now best friends with this person!	,yes
Does the event the narrator's boyfriend wanted to surprise the narrator for valentine's day. start after my boyfriend call me ?, Last Valentine's day my boyfriend was out of town. I was sad that I couldn't celebrate it. That night my boyfriend called me. He told me to look outside. I was surprised and happy to see his car in the driveway.	,no
Does the event we were friends for a long time. start before i hold to my friend so he would n't fall in the water ?," I was on a boat with a friend. We were going on a fishing spree. He threw his weight in the water. ""After several minutes, a small shark came and dragged the fishing pole."" I held on to my friend so he wouldn't fall in the water.	",yes
Does the event the teller puts money in tami's bag. ends before tami need money ?, Tami needs money. She decides to rob a bank. She goes to her bank. Tami tells the teller to fill her bag with money. Tami runs out of the bank.	,no
Does the event cecily had an upset stomach ends before she spent two days recuperating ?," ""After the three day music festival, Cecily was understandably tired."" She slept for almost 12 hours straight. ""When she woke up, however, she still didn't feel well."" Sleeping in the mud and rainy had given Cecily the flu. She called in sick to work and spent the next two days recuperating.	",no
Does the event mary was a huge star wars fan. start before she be so excited she peed her pants ?," Mary bought a ticket to see the new Star Wars movie. She was so excited she peed her pants! ""By the time she changed, it was too late to see the opening."" Mary was able to catch the next show. She thought it was everything it was hyped to be.	",yes
Does the event jake drove his new leather chair to his dorm. ends before he want to make his study area as comfortable as possible ?, Jake had just moved into his college dorm. He wanted to make his study area as comfortable as possible. The chair that was in his room was old and stiff. Jake found a really nice leather computer chair on craigslist. Jake was able to buy the chair for $50 used.	,no
Does the event neither jill nor roz cheated during the race. start before she run ?," Jill has been practicing everyday so she can beat Roz at the big race. She has been running two times a day and only eating healthy food. ""On the day of the race, she feels ready."" The officials start the race. Jill and Roz run a fair race and Jill wins!	",no
"Does the event i was at work start after at work, i yelled at people ?"," I was in a bad mood. ""At work, I yelled at people."" ""It the bus stop, I screamed at a bird."" I realized that I was simply hungry. ""After eating a pizza, I felt happy again.""	",no
Does the event i know what school joe's son went to at 13 start before i find the school did have summer reading ?," ""My friend Joe has a son, 16."" When his son was 13 he told his dad there was no summer reading. Joe believed his son. I went online and found the school did have summer reading. ""Joe told his son to do the reading, plus one book.""	",yes
Does the event tammy has got a career in the computer science industry ends after she practiced after school everyday ?, Tammy wanted to improve her typing. She practiced playing a typing game after school everyday. She eventually increased her word per minute dramatically. Tammy became really proficient in her computer skills. She was able to get a great job because of her computer skills.	,yes
Does the event our son is a picky eater ends before our son be silly ?, Our son is silly when it comes to drinking fluids. He only likes to drink milk. Doesn't even like to drink juice! He will also only drink from one type of cup. He is very silly to say the least.	,no
Does the event the man felt sharp pain under his foot. start after a man step on the lamp ?, The door closed too hard. A lamp fell down. It broke into small shards. A man stepped on the lamp. The lamp punctured his flesh.	,yes
Does the event the narrator's boyfriend wanted to surprise the narrator for valentine's day. ends after he tell me to look outside ?, Last Valentine's day my boyfriend was out of town. I was sad that I couldn't celebrate it. That night my boyfriend called me. He told me to look outside. I was surprised and happy to see his car in the driveway.	,yes
Does the event martin enjoyed his walk. start after martin be very happy he is getting more exercise ?, Martin realizes that he needs to get more exercise. He decides to have a walk around the block before he goes to bed. That night he sleeps more deeply than normal. He decides to take a walk every night before going to bed. Martin is very happy he is getting more exercise.	,no
Does the event the couples were surfing on the internet at home. start after a couple 's internet go ?, A couple's internet went out. They called the cable company. They sent someone to fix it. It took the repairman forever. The couple complained.	,no
Does the event martha's mother worried about her. ends after she came to visit martha the next day. ?, Martha was living by herself. She was lonely being by herself. She called up her mother. Her mother came to visit her the next day. Martha felt better in the company of her mother.	,yes
Does the event i walked to class ends before i sit in class falling asleep ?," I was sitting in class falling asleep. ""Suddenly, the teacher asked me a question."" I sat there speechless. I randomly told the teacher that two was the answer. ""Surprisingly, I was completely right.""	",yes
Does the event emily was killed start after something jumped out of the woods ?," Emily is an avid runner. She always runs near a wooded area. ""One day, she ran further than usual."" ""On her way back, she ran near the trees in complete darkness."" Something jumped out of the woods and Emily was never seen again.	",yes
Does the event he felt accomplished. ends after he be afraid to try it out ?, Tim wanted a new computer. He heard it would be cheaper to build his own. He was afraid to try it out. Eventually Tim found plenty of up to date information online. He built one and it was surprisingly easy.	,yes
Does the event she waited for mall security ends before she go out of the wrong door of the mall ?, Jen walked out of the mall only to find her car was gone. She looked around frantically. Finally she called mall security. As they started questioning her she realized her car wasn't missing. She had gone out of the wrong door of the mall.	,no
Does the event richard listens to music for inspiration. ends after he picks up the drumsticks. ?," Richards loves the drum. He picks up his drumsticks. Then goes to his practice room. Richard sits down at his drum kit. Finally, he plays a beat on his drums.	",no
Does the event jeremy ordered dessert ends before his friends take him to an authentic mexican restaurant ?, Jeremy had never tried Mexican food. One day his friends took him to an authentic Mexican restaurant. Jeremy decided to try the cheese enchiladas with rice and beans. He thought his meal was delicious. Jeremy went back several times afterward to try other entrees.	,no
Does the event she planted lettuce ends after ellie decide to stick to potato farming in the future ?, Ellie lived on a potato farm. One year she decided to farm lettuce too. The potatoes grew very well. The lettuce did not grow at all. Ellie decided to stick to potato farming in the future.	,no
